interview_id,original_file_name,project_file_name,av_file,is_incomplete_transcript,no_transcript,interviewer_names,researcher_assumed_race,date_of_first_interview,interview_city,interview_state,interview_country,collection_id,interviewee_ids,is_in_rape_cluster,is_in_abortion_cluster,interview_location_geonames_id,notes
0,abbott.txt,BWOH_Abbott_Jessie.txt,,,,"Thompson, A. Lillian",,10/11/1977,,,,BWOH,0,FALSE,FALSE,,
1,adair.txt,BWOH_Adair_Christia.txt,,,,"Robinson, Dorothy R.",,4/25/1977,,,,BWOH,1,TRUE,TRUE,,
2,adams_f.txt,BWOH_Adams_Frankie.txt,,,,"Banks, Gay Francine",,4/20/1977,,,,BWOH,2,FALSE,FALSE,,
3,adams_k.txt,BWOH_Adams_Kathleen.txt,,,,"Rowley, Margaret",,7/30/1976,,,,BWOH,3,FALSE,FALSE,,
4,albrier.txt,BWOH_Albrier_Frances.txt,,,,"Chall, Malca",,7/26/1979,,,,BWOH,4,TRUE,TRUE,,
5,alexander_mw.txt,BWOH_Alexander_Margaret.txt,,,,"Greenlee, Marcia",,1/22/1977,,,,BWOH,5,FALSE,FALSE,,
6,alexander_s.txt,BWOH_Alexander_Sadie.txt,,,,"Greenlee, Marcia",,1/26/1977,,,,BWOH,6,FALSE,FALSE,,
7,barker.txt,BWOH_Barker_Elizabeth.txt,,,,"Greenlee, Marcia",,12/8/1976,,,,BWOH,7,FALSE,FALSE,,
8,barnett.txt,BWOH_Barnett_Etta.txt,,,,"Hill, Ruth Edmonds",,2/11/1985,,,,BWOH,8,TRUE,TRUE,,
9,boyd.txt,BWOH_Boyd_Norma.txt,,,,"Thompson, A. Lillian",,11/13/1976,Washington,DC,USA,BWOH,9,FALSE,FALSE,,
10,cass.txt,BWOH_Cass_Melnea.txt,,,,"Mottl, Tahi Lani",,2/1/1977,,,,BWOH,10,FALSE,TRUE,,
11,chinn.txt,BWOH_Chinn_May.txt,,,,"Dammond, Ellen Craft",,6/27/1979,New Rochelle,NY,USA,BWOH,11,FALSE,FALSE,,
12,craft.txt,BWOH_Craft_Juanita.txt,,,,"Robinson, Dorothy R.",,1/20/1977,,,,BWOH,12,TRUE,TRUE,,
13,dickson.txt,BWOH_Dickson_Clara.txt,,,,"Greenlee, Marcia",,6/27/1978,,,,BWOH,13,FALSE,FALSE,,
14,dunnigan.txt,BWOH_Dunnigan_Alice.txt,,,,"Greenlee, Marcia",,4/8/1977,,,,BWOH,14,TRUE,FALSE,,
15,duster.txt,BWOH_Duster_Alfreda.txt,,,,"Greenlee, Marcia",,3/8/1978,Chicago,IL,USA,BWOH,15,TRUE,FALSE,,
16,dykes.txt,BWOH_Dykes_Eva.txt,,,,,,,,,,BWOH,16,FALSE,FALSE,,
17,eberhardt.txt,BWOH_Eberhardt_Mae.txt,,,,"Greenlee, Marcia",,11/5/1979,Newark,NJ,USA,BWOH,17,FALSE,TRUE,,
18,edmonds.txt,BWOH_Edmonds_Florence.txt,,,,"Hill, Ruth Edmonds",,1/5/1980,,,,BWOH,18,FALSE,FALSE,,
19,edwards.txt,BWOH_Edwards_Lena.txt,,,,"Tate, Merze",,11/13/1977,Lakewood,NJ,USA,BWOH,19,FALSE,TRUE,,
20,ferebee.txt,BWOH_Ferebee_Dorothy.txt,,,,"Tate, Merze",,12/30/1979,Washington,DC,USA,BWOH,20,FALSE,FALSE,,
21,fisher.txt,BWOH_Fisher_Minnie.txt,,,,"Robinson, Dorothy",,12/29/1979,,,,BWOH,21,FALSE,FALSE,,
22,flippin.txt,BWOH_Flippin_Katherine.txt,,,,"Lachatanere, Diana",,3/5/1977,,,,BWOH,22,FALSE,FALSE,,
23,gayton.txt,BWOH_Gayton_Virginia.txt,,,,"Greenlee, Marcia",,8/1/1977,Seattle,WA,USA,BWOH,23,FALSE,FALSE,,
24,george.txt,BWOH_George_Zelma.txt,,,,"Greenlee, Marcia",,8/20/1978,Cleveland,OH,USA,BWOH,24,FALSE,FALSE,,
25,grant.txt,BWOH_Grant_Frances.txt,,,,"Rothschild, Maurine",,10/7/1977,,,,BWOH,25,FALSE,FALSE,,
26,halyard.txt,BWOH_Halyard_Ardie.txt,,,,"Greenlee, Marcia",,8/24/1978,Milwaukee,WI,USA,BWOH,26,FALSE,FALSE,,
27,harrison.txt,BWOH_Harrison_Pleasant.txt,,,,"Greenlee, Marcia",,11/7/1979,Chesilhurst,NJ,USA,BWOH,27,TRUE,FALSE,,
28,hedgeman.txt,BWOH_Hedgeman_Arnold.txt,,,,"Dammond, Ellen Craft",,12/6/1978,,,,BWOH,28,TRUE,FALSE,,
29,height.txt,BWOH_Height_Dorothy.txt,,,,"Cowan, Polly",,2/11/1974,,,,BWOH,29,TRUE,TRUE,,
30,hester.txt,BWOH_Hester_Beulah.txt,,,,"Bowens, Felicia",,5/29/1978,,,,BWOH,30,FALSE,FALSE,,
31,hill.txt,BWOH_Hill_May.txt,,,,"Tate, Merze",,4/4/1978,Washington,DC,USA,BWOH,31,FALSE,FALSE,,
32,holmes.txt,BWOH_Holmes_Margaret.txt,,,,"Greenlee, Marcia",,11/9/1977,West Hyannisport,MA,USA,BWOH,32,FALSE,FALSE,,
33,hunter.txt,BWOH_Hunter_Clementine.txt,,,,"Robinson, Dorothy",,11/29/1979,Natchitoches,LA,USA,BWOH,33,FALSE,FALSE,,
34,jackson.txt,BWOH_Jackson_Ellen.txt,,,,"Gilkes, Cheryl",,6/26/1978,,,,BWOH,34,FALSE,FALSE,,
35,johnson.txt,BWOH_Johnson_Fidelia.txt,,,,"Franklin, Lucy Brown",,11/11/1976,Grambling,LA,USA,BWOH,35,FALSE,FALSE,,
36,jones_l.txt,BWOH_Jones_Lois.txt,,,,"Danley, Theresa B.",,1/30/1977,Washington,DC,USA,BWOH,36,FALSE,FALSE,,
37,jones_s.txt,BWOH_Jones_Susie.txt,,,,"Tate, Merze",,7/11/1977,Greensboro,NC,USA,BWOH,37,FALSE,FALSE,,
38,jones_v.txt,BWOH_Jones_Virginia.txt,,,,"Bowens, Felicia",,6/19/1978,Atlanta,GA,USA,BWOH,38,FALSE,FALSE,,
39,kelly.txt,BWOH_Kelly_Hattie.txt,,,,"Thompson, A. Lillian",,9/5/1976,Tuskegee,AL,USA,BWOH,39,TRUE,FALSE,,
40,kemp.txt,BWOH_Kemp_Maida.txt,,,,"Balanoff, Betty",,1/4/1977,,,,BWOH,40,FALSE,TRUE,,
41,kittrell.txt,BWOH_Kittrell_Flemmie.txt,,,,"Tate, Merze",,8/29/1977,,,,BWOH,41,FALSE,FALSE,,
42,lancaster.txt,BWOH_Lancaster_Abna.txt,,,,"Bowens, Felicia",,5/24/1978,Salisbury,NC,,BWOH,42,TRUE,TRUE,,
43,laurie.txt,BWOH_Laurie_Eunice.txt,,,,"Thompson, A. Lillian",,10/10/1977,Tuskegee,AL,,BWOH,43,FALSE,FALSE,,
44,lewis.txt,BWOH_Lewis_Catherine.txt,,,,"Greenlee, Marcia",,9/12/1980,Washington,DC,,BWOH,44,FALSE,FALSE,,
45,lindsay.txt,BWOH_Lindsay_Inabel.txt,,,,"Greenlee, Marcia",,5/20/1977,Washington,DC,,BWOH,45,TRUE,FALSE,,
46,matthews.txt,BWOH_Matthews_Miriam.txt,,,,"Roberts, Eleanor",,3/14/1977,,,,BWOH,46,FALSE,FALSE,,
