,Name,In Folder,References,Coverage
,BWOH_Grant_Frances,Files,1,0.30%
,HM_Angelou_Maya,Files,1,0.59%
,HM_Dorsey_Hattie,Files,1,0.34%
,HM_Ferguson_Roger,Files,1,0.42%
,HM_Hunter_Karen,Files,1,0.11%
,HM_Jones_Brenda,Files,1,0.58%
,HM_Jones_Michele,Files,1,0.18%
,HM_Outerbridge_Leslie,Files,1,0.16%
,OWHF_Longacre_Jacqulyn,Files,1,0.44%
,ROHA_Drelich_Pearl,Files,1,0.01%
,SCAL_Dodyk_Delight,Files,1,0.21%
,SCVF_Fried_Marlene_Gerber,Files,1,0.09%
,SOOH_Wynne_Gail,Files,1,0.21%
,WOL_McNiel_Skye,Files,1,0.34%
