,Name,In Folder,References,Coverage
,BWOH_Height_Dorothy,Files,3,0.12%
,BWOH_Parks_Rosa,Files,2,1.43%
,HM_Baskerville_Lezli,Files,1,0.40%
,HM_Billops_Camille,Files,1,0.25%
,HM_Davis_Carrie,Files,1,0.43%
,HM_Estes_Sidmel,Files,1,0.18%
,HM_Flowers_Mary,Files,1,0.55%
,HM_Huntley_Lynn,Files,3,0.72%
,HM_Lawson_Jennifer,Files,1,0.21%
,HM_Payne_Scherrie,Files,1,0.18%
,HM_Roxborough_Mildred,Files,1,0.22%
,HM_Sales_Ruby,Files,1,0.26%
,HM_Shaw_Sarah-Ann,Files,1,0.59%
,HM_Webb_Wilma,Files,1,0.83%
,SCAARJ_Chum_Sophya,Files,1,1.45%
,SCAARJ_Mingus_Mia,Files,1,0.87%
,SCAL_Pollet_Tiik,Files,1,0.31%
,SCVF_Kramer_Marian,Files,2,0.96%
,SHSA_Gartrell_Nanette,Files,1,0.22%
,UNCSW_McGill_Eula_3,Files,2,2.58%
,WOL_McIntyre_Judy_Eason,Files,1,0.50%
