,Name,In Folder,References,Coverage
,BWOH_Height_Dorothy,Files,1,0.05%
,BWOH_Mitchell_Lucy,Files,2,0.27%
,BWOH_Parks_Rosa,Files,2,1.43%
,BWSP_Kay_Sarah,Files,1,0.91%
,BWSP_Mahdesian_Linda,Files,1,0.07%
,HM_Adams_Carol,Files,1,0.83%
,HM_Baskerville_Lezli,Files,1,0.51%
,HM_Billops_Camille,Files,1,0.21%
,HM_Boone_Jean,Files,1,0.41%
,HM_Cafritz_Peggy,Files,1,0.79%
,HM_Cooper_Maudine,Files,1,0.39%
,HM_Davis_Carrie,Files,1,0.43%
,HM_Davis_Michaela,Files,1,0.20%
,HM_Flowers_Mary,Files,1,0.55%
,HM_Fry_Rita,Files,1,0.52%
,HM_Gray_Joan,Files,1,1.90%
,HM_Griesinger_Nancy,Files,1,0.33%
,HM_Hicks_Phyllis,Files,1,0.28%
,HM_Hughley_Stephanie,Files,1,0.12%
,HM_Huntley_Lynn,Files,1,0.30%
,HM_Jackson_Teri,Files,1,0.23%
,HM_Jackson_Valerie,Files,2,0.59%
,HM_Ladner_Joyce,Files,1,0.28%
,HM_Malveaux_Antoinette,Files,1,0.89%
,HM_Okpodu_Camellia,Files,1,0.48%
,HM_Pindell_Howardena,Files,1,0.58%
,HM_Randall_Alice,Files,1,0.31%
,HM_Randall_Marlene,Files,1,0.88%
,HM_Randall_Vernellia,Files,2,0.49%
,HM_Roberts_Allene,Files,1,0.34%
,HM_Robinson_Amelia,Files,1,0.71%
,HM_Roxborough_Mildred,Files,1,0.22%
,HM_Sales_Ruby,Files,1,0.26%
,HM_Shaw_Sarah-Ann,Files,1,0.59%
,HM_Shipp_E.,Files,1,0.78%
,HM_Sturdivant_Marcia,Files,1,0.67%
,HM_Webb_Wilma,Files,1,0.83%
,HM_Wilcher_Shirley,Files,1,0.58%
,HM_Wilson_Lucy,Files,1,0.45%
,ROHA_Hunter_Nan,Files,1,0.30%
,SCAARJ_Chum_Sophya,Files,1,1.45%
,SCAARJ_Mingus_Mia,Files,2,1.95%
,SCVF_Kramer_Marian,Files,1,0.53%
,SCVF_Stout_Linda,Files,5,1.07%
,UNCSW_McGill_Eula_3,Files,1,0.44%
