,Name,In Folder,References,Coverage
,BWSP_Black_Lois,Files,1,0.53%
,BWSP_Fairchild_Joyce,Files,1,1.66%
,BWSP_Gardner_Martha,Files,13,5.31%
,BWSP_Hopkins-Stapleton_Doris,Files,3,1.48%
,BWSP_Mahdesian_Linda,Files,1,0.21%
,BWSP_Mikuriya_Mary,Files,1,0.56%
,BWSP_Miller_Kristie,Files,1,1.75%
,BWSP_Morse_Charlotte,Files,1,1.48%
,BWSP_Palmer_Alison,Files,1,0.24%
,BWSP_Richardson_Joyce,Files,1,0.97%
,BWSP_Weed_Elizabeth,Files,1,0.87%
,HM_Bundles_A_Lelia,Files,1,0.21%
,HM_Martin_Sylvia,Files,1,0.80%
,HM_Pratt_Sharon,Files,4,0.96%
,HM_Shange_Ntozake,Files,1,0.39%
,OWHF_Martin_Kay,Files,1,3.06%
,ROHA_Kramer_Barbara,Files,1,0.45%
,RTRB_Gee_Maggie_1,Files,1,0.29%
,SCAP_Callahan_Kara,Files,1,2.89%
,SHSA_Tracy_Else,Files,1,1.98%
,SHSF_Chu_Jean,Files,1,0.18%
,SHSF_Jacobs_Charlotte,Files,1,0.36%
,SHSF_Kraemer_Helena,Files,3,2.68%
,SHSF_Maccoby_Eleanor,Files,1,0.36%
,SHSF_Mahoney_Sally,Files,3,1.09%
,SHSF_Martin_Joanne,Files,2,2.72%
,SHSF_Miner_Anne,Files,1,0.13%
,SHSF_Strober_Myra,Files,5,2.96%
,UNCTWMS_Barrett_Lida_Kittrell,Files,1,0.52%
,UNCTWMS_Barrett_Margaret_Bowers,Files,1,0.31%
,UNCTWMS_Kurth_Suzanne_B_(Suzanne_Beth),Files,3,6.08%
,UNCTWMS_Lester_Lorayne,Files,1,1.88%
,UNCTWMS_Sobieski_Wanda_2,Files,1,1.37%
